BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Hamilton-Wentworth DSB,Eastdale PS,3,en,1,96%,96%,96%,67%,60%,40%,4%,4%,4%
Avon Maitland DSB,Listowel Eastdale PS,3,en,1,96%,100%,98%,72%,58%,69%,0%,0%,0%
Thames Valley District School Board,Eastdale PS,3,en,1,89%,89%,89%,58%,46%,50%,11%,11%,11%
Halton DSB,Eastview PS,3,en,1,97%,97%,97%,90%,72%,83%,0%,0%,0%
Peel District School Board,Mount Royal Public School,3,en,1,96%,96%,96%,67%,58%,55%,4%,4%,4%
Toronto DSB,Eastview Jr PS,3,en,1,100%,100%,100%,76%,50%,56%,0%,0%,0%
Toronto DSB,Eatonville Jr PS,3,en,1,100%,100%,100%,84%,84%,56%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École Élémentaire Publique Marie-Curie,3,fr,1,95%,95%,95%,71%,60%,66%,5%,5%,5%
DSB of Niagara,John Brant Public School,3,en,1,98%,98%,98%,77%,80%,75%,2%,2%,2%
Conseil scolaire du Grand Nord,École publique Pavillon-de-l'Avenir,3,fr,1,100%,100%,100%,20%,10%,40%,0%,0%,0%
Conseil scolaire du Grand Nord,École publique des Villageois,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Conseil scolaire Viamonde,École élémentaire Nouvel Horizon ,3,fr,1,83%,83%,83%,73%,60%,73%,6%,6%,6%
Conseil scolaire Viamonde,École élémentaire LaMarsh,3,fr,1,94%,94%,94%,29%,29%,29%,6%,6%,6%
Algoma DSB,Echo Bay Central PS,3,en,1,100%,100%,100%,82%,55%,64%,0%,0%,0%
Le C.S. public du Nord-Est de l'Ontario,École publique Le Coeur du Nord,3,fr,1,96%,96%,96%,65%,65%,70%,4%,4%,4%
Conseil scolaire Viamonde,École élémentaire L’Envolée,3,fr,1,95%,95%,95%,53%,37%,58%,5%,5%,5%
Conseil scolaire Viamonde,Académie de la Tamise,3,fr,1,96%,96%,96%,86%,77%,91%,0%,4%,0%
Conseil scolaire Viamonde,École élémentaire Horizon Jeunesse,3,fr,1,96%,96%,96%,92%,76%,80%,4%,4%,4%
Conseil scolaire Viamonde,École élémentaire Renaissance ,3,fr,1,94%,94%,94%,72%,90%,97%,6%,6%,6%
Conseil scolaire Viamonde,École élémentaire Carrefour des jeunes,3,fr,1,95%,95%,95%,90%,80%,98%,5%,5%,5%
Conseil scolaire Viamonde,École élémentaire L’Odyssée,3,fr,1,100%,100%,100%,78%,78%,83%,0%,0%,0%
Conseil scolaire Viamonde,Académie de la Moraine,3,fr,1,100%,100%,100%,100%,100%,100%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Pierre-Elliott-Trudeau,3,fr,1,98%,98%,98%,98%,95%,86%,2%,2%,2%
Conseil scolaire Viamonde,École élémentaire Pavillon de la jeunesse,3,fr,1,98%,95%,98%,77%,63%,79%,2%,2%,2%
Durham DSB,Eagle Ridge PS,3,en,1,96%,96%,96%,79%,81%,71%,3%,3%,3%
Peel District School Board,Edenbrook Hill Public School,3,en,1,95%,95%,95%,77%,71%,74%,4%,4%,4%
Toronto DSB,Edgewood PS,3,en,1,93%,93%,93%,54%,15%,38%,0%,0%,0%
DSB of Niagara,Edith Cavell PS,3,en,1,88%,88%,88%,91%,91%,70%,12%,12%,12%
Kawartha Pine Ridge DSB,Edmison Heights PS,3,en,1,99%,99%,99%,82%,64%,76%,0%,0%,0%
Upper Grand DSB,Edward Johnson,3,en,1,100%,100%,100%,94%,83%,75%,0%,0%,0%
Thames Valley District School Board,June Rose Callwood PS,3,en,1,100%,100%,100%,58%,31%,49%,0%,0%,0%
Peel District School Board,Edenrose PS,3,en,1,97%,97%,97%,75%,68%,63%,3%,3%,3%
Upper Canada DSB,South Edwardsburg PS,3,en,1,100%,100%,100%,35%,30%,30%,0%,0%,0%
Renfrew County DSB,Eganville & District PS,3,en,1,92%,92%,92%,54%,37%,34%,8%,8%,8%
Toronto DSB,Eglinton PS,3,en,1,88%,90%,90%,76%,66%,68%,10%,10%,7%
Bluewater DSB,Egremont Community S,3,en,1,96%,96%,96%,84%,60%,84%,4%,4%,4%
Thames Valley District School Board,Ekcoe Central PS,3,en,1,95%,95%,95%,70%,49%,57%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique MAMAWI,3,fr,1,93%,93%,93%,96%,81%,85%,0%,0%,0%
York Region DSB,Oscar Peterson PS,3,en,1,98%,98%,98%,70%,60%,70%,2%,2%,2%
Peel District School Board,Thorndale PS,3,en,1,86%,86%,86%,69%,57%,61%,14%,14%,14%
York Region DSB,Little Rouge PS,3,en,1,98%,98%,98%,78%,68%,68%,0%,0%,0%
Halton DSB,E W Foster S,3,en,1,94%,94%,94%,87%,73%,63%,0%,0%,0%
Bluewater DSB,Chesley District Community School,3,en,1,100%,100%,100%,58%,54%,58%,0%,0%,0%
Lakehead DSB,Woodcrest S,3,en,1,98%,98%,98%,78%,72%,69%,2%,2%,2%
Trillium Lakelands DSB,Lady Mackenzie PS,3,en,1,97%,97%,97%,78%,61%,69%,3%,3%,3%
Thames Valley District School Board,Elgin Court PS,3,en,1,96%,96%,96%,56%,36%,44%,4%,4%,4%
Upper Canada DSB,Duncan J Schoular PS,3,en,1,92%,92%,92%,50%,58%,42%,3%,3%,3%
Durham DSB,David Bouchard PS,3,en,1,89%,91%,94%,55%,31%,45%,0%,0%,0%
Waterloo Region DSB,Elgin Street PS,3,en,1,94%,94%,94%,64%,64%,48%,6%,6%,6%
Ottawa-Carleton DSB,Elgin Street PS,3,en,1,100%,100%,100%,88%,77%,79%,0%,0%,0%
Limestone DSB,Elginburg & District PS,3,en,1,92%,92%,92%,78%,70%,57%,4%,4%,4%
Durham DSB,Whitby Shores,3,en,1,97%,97%,97%,94%,91%,94%,3%,3%,3%
Toronto DSB,Elizabeth Simcoe Jr PS,3,en,1,100%,100%,100%,87%,77%,68%,0%,0%,0%
Waterloo Region DSB,Elizabeth Ziegler PS,3,en,1,96%,98%,98%,71%,60%,48%,0%,0%,0%
Toronto DSB,Elkhorn PS,3,en,1,100%,100%,100%,86%,84%,84%,0%,0%,0%
Peel District School Board,Ellengale PS,3,en,1,93%,93%,93%,71%,82%,75%,7%,7%,7%
Toronto DSB,Ellesmere-Statton PS,3,en,1,98%,100%,98%,50%,49%,59%,0%,0%,0%
Conseil scolaire du Grand Nord,École publique de la Découverte,3,fr,1,94%,94%,94%,40%,33%,53%,6%,6%,6%
Peel District School Board,Ellwood Memorial PS,3,en,1,97%,97%,97%,86%,71%,77%,3%,3%,3%
Avon Maitland DSB,Elma Township PS,3,en,1,100%,100%,100%,81%,73%,78%,0%,0%,0%
Simcoe County DSB,Marshview Public School,3,en,1,79%,79%,79%,85%,70%,83%,21%,21%,21%
Grand Erie DSB,Walter Gretzky Elementary School,3,en,1,95%,95%,95%,64%,60%,51%,2%,2%,2%
Toronto DSB,Elmbank Junior Middle Academy S,3,en,1,100%,100%,100%,36%,27%,23%,0%,0%,0%
Ottawa-Carleton DSB,Elmdale PS,3,en,1,99%,99%,99%,97%,96%,89%,0%,0%,0%
Toronto DSB,Elmlea Jr S,3,en,1,100%,100%,100%,57%,43%,39%,0%,0%,0%
Upper Canada DSB,North Elmsley PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Upper Grand DSB,Elora PS,3,en,1,97%,97%,97%,86%,89%,66%,3%,3%,3%
DSB of Niagara,Diamond Trail,3,en,1,92%,92%,92%,85%,80%,85%,8%,8%,8%
Durham DSB,Brooklin Village PS,3,en,1,92%,92%,95%,78%,71%,77%,8%,8%,5%
Thames Valley District School Board,Emily Carr PS,3,en,1,88%,88%,88%,77%,75%,77%,11%,11%,11%
Halton DSB,Dr. David Williams Public School,3,en,1,99%,99%,99%,80%,79%,79%,1%,1%,1%
Halton DSB,Gardiner Elem PS,3,en,1,97%,98%,98%,81%,64%,64%,2%,2%,2%
Bluewater DSB,Georgian Bay Community School – Elementary,3,en,1,88%,88%,90%,48%,40%,53%,7%,7%,7%
Waterloo Region DSB,Empire PS,3,en,1,98%,100%,100%,86%,70%,70%,0%,0%,0%
Simcoe County DSB,Emma King,3,en,1,94%,94%,94%,74%,59%,72%,6%,6%,6%
DSB Ontario North East,Englehart PS,3,en,1,89%,89%,89%,75%,54%,79%,11%,11%,11%
Simcoe County DSB,Ernest Cumberland E S,3,en,1,93%,93%,94%,74%,56%,60%,2%,2%,1%
Kawartha Pine Ridge DSB,Enniskillen PS,3,en,1,97%,97%,97%,76%,74%,65%,3%,3%,3%
Hastings and Prince Edward DSB,Massassaga-Rednersville PS,3,en,1,93%,93%,93%,81%,69%,77%,0%,0%,0%
Limestone DSB,Enterprise E S,3,en,1,95%,100%,100%,72%,63%,53%,0%,0%,0%
York Region DSB,Harry Bowes PS,3,en,1,98%,98%,99%,87%,66%,65%,2%,2%,1%
Upper Grand DSB,Eramosa PS,3,en,1,100%,100%,100%,86%,79%,100%,0%,0%,0%
Upper Grand DSB,Brisbane PS,3,en,1,91%,91%,91%,84%,78%,73%,9%,9%,9%
Upper Grand DSB,Ross R MacKay PS,3,en,1,100%,100%,100%,86%,79%,86%,0%,0%,0%
Upper Grand DSB,Erin PS,3,en,1,100%,100%,100%,88%,60%,52%,0%,0%,0%
York Region DSB,Moraine Hills PS,3,en,1,66%,98%,98%,62%,44%,53%,0%,0%,0%
Toronto DSB,Ernest PS,3,en,1,100%,100%,100%,62%,71%,57%,0%,0%,0%
Peel District School Board,Janet I. McDougald PS,3,en,1,96%,96%,96%,61%,54%,58%,3%,3%,3%
Lambton Kent District School Board,Errol Village PS,3,en,1,100%,100%,100%,83%,80%,89%,0%,0%,0%
Lambton Kent District School Board,Errol Road,3,en,1,100%,100%,100%,78%,54%,59%,0%,0%,0%
Peel District School Board,Esker Lake PS,3,en,1,85%,85%,83%,69%,55%,60%,12%,12%,12%
Rainbow District School Board,A B Ellis PS,3,en,1,92%,92%,88%,92%,71%,70%,8%,8%,8%
Simcoe County DSB,Cookstown Central S,3,en,1,98%,98%,98%,83%,73%,85%,2%,2%,2%
Peel District School Board,Dolson Public School,3,en,1,93%,93%,93%,62%,45%,60%,4%,4%,4%
Simcoe County DSB,Angus Morrison ES,3,en,1,98%,98%,97%,56%,34%,38%,0%,0%,0%
Peel District School Board,Peel Virtual Elementary School,3,en,1,33%,33%,33%,74%,59%,48%,2%,2%,2%
Greater Essex County DSB,Amherstburg PS,3,en,1,98%,98%,96%,65%,59%,49%,2%,2%,2%
Simcoe County DSB,Alliston Union PS,3,en,1,100%,100%,100%,58%,47%,49%,0%,0%,0%
Toronto DSB,Essex Junior and Senior PS,3,en,1,97%,97%,97%,70%,60%,67%,3%,3%,3%
Algoma DSB,Esten Park PS,3,en,1,92%,92%,92%,64%,59%,68%,8%,8%,8%
Toronto DSB,Etienne Brule Jr S,3,en,1,97%,97%,97%,87%,73%,77%,0%,0%,0%
Limestone DSB,Amherstview PS,3,en,1,100%,100%,100%,78%,62%,71%,0%,0%,0%
Renfrew County DSB,A.J. Charbonneau PS,3,en,1,93%,93%,93%,72%,64%,52%,7%,7%,7%
Toronto DSB,Ancaster PS,3,en,1,85%,85%,85%,53%,47%,41%,15%,15%,15%
Grand Erie DSB,Waterford P.S.,3,en,1,100%,100%,100%,73%,58%,50%,0%,0%,0%
Thames Valley District School Board,Evelyn Harrison PS,3,en,1,96%,96%,96%,50%,18%,36%,4%,4%,4%
Keewatin-Patricia DSB,Evergreen PS,3,en,1,88%,88%,88%,50%,32%,23%,12%,12%,12%
Near North DSB,Evergreen Heights Education Center EC,3,en,1,95%,95%,95%,63%,58%,58%,0%,0%,0%
Avon Maitland DSB,Exeter Elementary School,3,en,1,96%,98%,98%,68%,67%,71%,2%,2%,2%
Greater Essex County DSB,Anderdon Central PS,3,en,1,84%,86%,91%,74%,54%,53%,16%,14%,9%
Toronto DSB,F H Miller Jr PS,3,en,1,93%,93%,93%,81%,70%,78%,7%,7%,7%
Toronto DSB,Fairbank Public School,3,en,1,79%,79%,68%,67%,73%,69%,21%,21%,21%
Limestone DSB,Fairfield E S,3,en,1,97%,97%,97%,78%,69%,69%,3%,3%,3%
Conseil scolaire Viamonde,École élémentaire La Pommeraie,3,fr,1,100%,100%,100%,78%,67%,81%,0%,0%,0%
Toronto DSB,Fairglen Jr PS,3,en,1,97%,97%,97%,64%,52%,61%,0%,0%,0%
Algoma DSB,Anna McCrea PS,3,en,1,100%,100%,100%,94%,82%,82%,0%,0%,0%
Toronto DSB,Fairmount Jr PS,3,en,1,92%,92%,92%,65%,62%,59%,8%,3%,3%
Durham DSB,Fairport Beach PS,3,en,1,100%,100%,100%,67%,52%,38%,0%,0%,0%
Peel District School Board,Fairview PS,3,en,1,90%,90%,90%,73%,64%,73%,4%,4%,4%
Grand Erie DSB,École Confédération,3,en,1,95%,95%,95%,98%,88%,88%,2%,2%,2%
York Region DSB,Fairwood PS,3,en,1,92%,92%,92%,61%,45%,55%,0%,0%,0%
Halton DSB,Falgarwood PS,3,en,1,92%,94%,94%,83%,50%,67%,4%,2%,2%
Peel District School Board,Fallingdale PS,3,en,1,88%,88%,88%,86%,64%,71%,12%,12%,12%
Durham DSB,Fallingbrook PS,3,en,1,96%,96%,96%,79%,79%,81%,3%,3%,3%
Avon Maitland DSB,Anne Hathaway PS,3,en,1,88%,88%,88%,63%,43%,57%,12%,12%,12%
Toronto DSB,Faywood Arts Based Curriculum S,3,en,1,90%,90%,90%,87%,76%,67%,10%,10%,10%
Ottawa-Carleton DSB,Featherston Drive PS,3,en,1,71%,71%,71%,33%,25%,17%,29%,29%,29%
DSB Ontario North East,Federal PS,3,en,1,95%,95%,100%,22%,6%,16%,0%,0%,0%
Trillium Lakelands DSB,Fenelon Twp PS,3,en,1,100%,100%,100%,97%,97%,100%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Félix-Leclerc,3,fr,1,100%,100%,100%,100%,85%,85%,0%,0%,0%
Peel District School Board,Fernforest PS,3,en,1,100%,100%,100%,78%,74%,60%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Jeanne-Sauvé,3,fr,1,100%,100%,100%,69%,69%,74%,0%,0%,0%
Halton DSB,Florence Meares PS,3,en,1,93%,93%,93%,88%,74%,84%,6%,6%,6%
Toronto DSB,Annette Street PS,3,en,1,100%,100%,100%,94%,77%,87%,0%,0%,0%
Toronto DSB,Fenside PS,3,en,1,89%,89%,89%,79%,74%,64%,11%,9%,9%
Algoma DSB,Mountain View PS,3,en,1,97%,97%,97%,43%,21%,18%,3%,3%,3%
Toronto DSB,Fern Avenue Jr & Sr PS,3,en,1,95%,95%,98%,78%,61%,69%,0%,0%,0%
DSB of Niagara,Ferndale PS,3,en,1,91%,91%,91%,90%,90%,93%,9%,9%,9%
Peel District School Board,Eagle Plains PS,3,en,1,94%,94%,94%,68%,39%,55%,6%,6%,6%
Trillium Lakelands DSB,Archie Stouffer E S,3,en,1,100%,100%,100%,58%,60%,65%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Séraphin-Marion,3,fr,1,96%,96%,96%,84%,78%,74%,4%,2%,2%
Simcoe County DSB,Ferndale Woods E S,3,en,1,69%,69%,89%,52%,44%,58%,28%,28%,11%
Near North DSB,Ferris Glen PS,3,en,1,100%,100%,100%,58%,42%,33%,0%,0%,0%
Hamilton-Wentworth DSB,Frank Panabaker Fessenden S,3,en,1,98%,98%,98%,85%,73%,58%,0%,0%,0%
Toronto DSB,Finch PS,3,en,1,100%,100%,100%,72%,72%,72%,0%,0%,0%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique L’Académie de la Seigneurie,3,fr,1,100%,100%,100%,79%,68%,79%,0%,0%,0%
Toronto DSB,Firgrove PS,3,en,1,98%,98%,98%,62%,50%,52%,0%,0%,0%
Ottawa-Carleton DSB,First Avenue PS,3,en,1,86%,86%,86%,100%,84%,79%,14%,14%,14%
Toronto DSB,Anson Park PS,3,en,1,100%,100%,100%,43%,33%,48%,0%,0%,0%
Toronto DSB,Anson Taylor Jr PS,3,en,1,100%,100%,100%,88%,88%,81%,0%,0%,0%
Durham DSB,Seneca Trail PS,3,en,1,89%,89%,89%,93%,79%,81%,9%,9%,9%
Conseil scolaire Viamonde,École élémentaire La Mosaïque,3,fr,1,100%,100%,98%,89%,83%,87%,0%,0%,2%
Peel District School Board,Malala Yousafzai Public School,3,en,1,96%,96%,96%,67%,57%,54%,1%,1%,1%
DSB of Niagara,Fitch Street PS,3,en,1,96%,96%,96%,79%,73%,69%,4%,4%,4%
Lakehead DSB,Five Mile S,3,en,1,100%,100%,100%,96%,52%,91%,0%,0%,0%
Hamilton-Wentworth DSB,Flamborough Centre PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Fleming PS,3,en,1,96%,96%,96%,88%,73%,77%,4%,4%,4%
Peel District School Board,Brisdale Public School,3,en,1,94%,94%,94%,67%,61%,58%,6%,6%,6%
Toronto DSB,Flemington PS,3,en,1,94%,100%,94%,31%,53%,25%,0%,0%,0%
Bluewater DSB,Macphail Memorial E S,3,en,1,95%,95%,90%,36%,27%,17%,0%,0%,0%
Hastings and Prince Edward DSB,Easthill Elementary School,3,en,1,95%,95%,95%,60%,45%,50%,5%,5%,5%
Peel District School Board,Floradale PS,3,en,1,88%,88%,88%,65%,56%,62%,12%,12%,12%
Waterloo Region DSB,Floradale PS,3,en,1,100%,100%,100%,67%,58%,58%,0%,0%,0%
Upper Grand DSB,Fred A Hamilton E S,3,en,1,100%,100%,100%,86%,71%,52%,0%,0%,0%
Le C.S. public du Nord-Est de l'Ontario,École publique Jeunesse-Active,3,fr,1,97%,97%,97%,52%,42%,70%,0%,0%,0%
Conseil scolaire Viamonde,Académie La Pinède,3,fr,1,100%,100%,100%,47%,53%,71%,0%,0%,0%
Durham DSB,Applecroft PS,3,en,1,100%,100%,100%,80%,73%,63%,0%,0%,0%
Ottawa-Carleton DSB,Mino Mikan Elementary School,3,en,1,97%,97%,97%,62%,58%,54%,1%,1%,1%
Peel District School Board,Folkstone PS,3,en,1,91%,89%,91%,64%,41%,43%,4%,4%,4%
DSB of Niagara,Glynn A Green PS,3,en,1,98%,98%,98%,98%,95%,90%,2%,2%,2%
Durham DSB,Romeo Dallaire Public School,3,en,1,91%,91%,91%,87%,79%,74%,9%,9%,9%
Peel District School Board,Forest Avenue PS,3,en,1,100%,100%,100%,92%,71%,83%,0%,0%,0%
Greater Essex County DSB,Forest Glade PS,3,en,1,88%,88%,88%,73%,70%,68%,12%,12%,12%
Peel District School Board,Forest Glen PS,3,en,1,94%,93%,94%,55%,50%,49%,3%,3%,3%
Waterloo Region DSB,Forest Glen PS,3,en,1,98%,98%,98%,87%,72%,62%,2%,2%,2%
Waterloo Region DSB,Forest Hill PS,3,en,1,85%,85%,85%,64%,56%,51%,15%,15%,15%
Simcoe County DSB,Forest Hill PS,3,en,1,100%,100%,100%,60%,48%,54%,0%,0%,0%
Toronto DSB,Forest Manor PS,3,en,1,81%,81%,81%,64%,66%,61%,5%,5%,5%
Thames Valley District School Board,Forest Park PS,3,en,1,95%,95%,93%,29%,22%,32%,5%,5%,5%
York Region DSB,Forest Run PS,3,en,1,100%,100%,100%,83%,56%,56%,0%,0%,0%
York Region DSB,Fred Varley Public School,3,en,1,96%,96%,96%,65%,65%,65%,4%,4%,4%
Kawartha Pine Ridge DSB,Apsley PS,3,en,1,100%,100%,100%,71%,59%,59%,0%,0%,0%
Hastings and Prince Edward DSB,Foxboro PS,3,en,1,100%,100%,100%,77%,58%,63%,0%,0%,0%
Algoma DSB,Francis H Clergue PS,3,en,1,N/D,N/D,98%,N/D,N/D,38%,N/D,N/D,2%
Greater Essex County DSB,Frank W Begley,3,en,1,59%,59%,61%,59%,52%,54%,39%,39%,37%
Toronto DSB,Arbor Glen PS,3,en,1,97%,97%,97%,97%,100%,97%,3%,3%,3%
Hastings and Prince Edward DSB,Frankford PS,3,en,1,100%,100%,100%,57%,53%,60%,0%,0%,0%
Toronto DSB,Frankland Jr PS,3,en,1,100%,100%,100%,94%,91%,91%,0%,0%,0%
Waterloo Region DSB,Franklin PS,3,en,1,97%,97%,97%,70%,63%,63%,2%,2%,2%
Thames Valley District School Board,Forest City Public School,3,en,1,92%,92%,92%,50%,50%,27%,0%,0%,0%
Ottawa-Carleton DSB,Arch Street PS,3,en,1,81%,81%,81%,38%,24%,24%,19%,19%,19%
Upper Canada DSB,Arklan Community PS,3,en,1,95%,95%,95%,73%,69%,67%,5%,5%,5%
Hamilton-Wentworth DSB,Franklin Road,3,en,1,90%,90%,90%,63%,48%,43%,10%,10%,10%
York Region DSB,Franklin Street PS,3,en,1,95%,95%,95%,90%,86%,86%,0%,0%,0%
Toronto DSB,Garden Avenue Jr PS,3,en,1,97%,97%,97%,89%,86%,79%,3%,3%,3%
Ottawa-Carleton DSB,South March PS,3,en,1,93%,94%,94%,69%,71%,67%,6%,6%,6%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Gabrielle-Roy,3,fr,1,100%,100%,100%,79%,66%,66%,0%,0%,0%
Near North DSB,Argyle PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Pierre Berton PS,3,en,1,91%,91%,93%,71%,71%,71%,9%,9%,7%
Durham DSB,Frenchmans Bay PS,3,en,1,N/D,N/D,100%,N/D,N/D,45%,N/D,N/D,0%
Halton DSB,Emily Carr Elem PS,3,en,1,92%,92%,92%,84%,73%,82%,4%,4%,4%
Halton DSB,Frontenac PS,3,en,1,98%,98%,98%,82%,62%,85%,2%,2%,2%
York Region DSB,Armitage Village PS,3,en,1,92%,92%,92%,81%,57%,70%,8%,8%,8%
Toronto DSB,Armour Heights PS,3,en,1,91%,95%,95%,60%,62%,62%,0%,0%,0%
DSB of Niagara,Gainsborough Central PS,3,en,1,100%,100%,100%,100%,100%,100%,0%,0%,0%
Toronto DSB,Galloway Road PS,3,en,1,100%,100%,100%,50%,33%,33%,0%,0%,0%
Upper Grand DSB,East Garafraxa Central PS,3,en,1,100%,100%,100%,70%,63%,67%,0%,0%,0%
Limestone DSB,Elementary Remote Learning,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Upper Grand DSB,Gateway Drive PS,3,en,1,79%,79%,79%,82%,45%,91%,14%,14%,14%
Avon Maitland DSB,AMDSB Elementary Remote Learning School,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Rivière Rideau,3,fr,1,100%,100%,100%,65%,60%,55%,0%,0%,0%
Upper Grand DSB,John Black PS,3,en,1,93%,93%,93%,93%,86%,86%,7%,7%,7%
Peel District School Board,Sir Isaac Brock PS,3,en,1,97%,97%,97%,76%,72%,51%,1%,1%,1%
Lakehead DSB,Armstrong PS,3,en,1,75%,75%,75%,58%,33%,42%,12%,12%,12%
Durham DSB,Gandatsetiagon PS,3,en,1,98%,98%,98%,90%,82%,80%,2%,2%,2%
DSB of Niagara,Garrison Road PS,3,en,1,95%,96%,96%,94%,78%,76%,4%,4%,4%
Peel District School Board,Garthwood Park PS,3,en,1,87%,93%,93%,49%,31%,38%,7%,7%,7%
Toronto DSB,Gateway PS,3,en,1,79%,80%,81%,58%,51%,28%,18%,17%,17%
Toronto DSB,General Brock PS,3,en,1,100%,100%,100%,62%,60%,45%,0%,0%,0%
Greater Essex County DSB,General Brock PS,3,en,1,88%,84%,81%,61%,59%,54%,12%,16%,16%
Toronto DSB,General Crerar PS,3,en,1,94%,94%,100%,69%,75%,61%,0%,0%,0%
York Region DSB,Carrville Mills PS,3,en,1,98%,96%,98%,86%,88%,92%,2%,4%,2%
Toronto DSB,General Mercer Jr PS,3,en,1,75%,75%,75%,70%,37%,41%,0%,0%,0%
Ottawa-Carleton DSB,General Vanier PS,3,en,1,94%,94%,94%,69%,56%,47%,4%,4%,4%
Toronto DSB,George Anderson PS,3,en,1,100%,100%,100%,95%,79%,89%,0%,0%,0%
Toronto DSB,George B Little PS,3,en,1,73%,73%,73%,50%,56%,50%,27%,27%,27%
Halton DSB,George Kennedy PS,3,en,1,96%,96%,96%,72%,54%,54%,4%,4%,2%
Hamilton-Wentworth DSB,George L Armstrong PS,3,en,1,87%,87%,87%,67%,56%,59%,13%,13%,13%
Peel District School Board,Nelson Mandela Public School,3,en,1,92%,92%,92%,59%,53%,51%,8%,8%,8%
Toronto DSB,George P Mackie Jr PS,3,en,1,89%,89%,100%,100%,88%,74%,11%,11%,0%
Toronto DSB,George Peck PS,3,en,1,95%,95%,95%,66%,54%,63%,0%,0%,0%
Hamilton-Wentworth DSB,Cootes Paradise Public School,3,en,1,95%,96%,96%,81%,69%,60%,4%,4%,4%
Toronto DSB,George R Gauld Jr PS,3,en,1,93%,93%,93%,82%,74%,63%,7%,7%,7%
Toronto DSB,George Syme Community S,3,en,1,93%,93%,95%,39%,36%,30%,7%,7%,5%
Toronto DSB,George Webster PS,3,en,1,94%,94%,94%,78%,61%,52%,0%,0%,0%
Peel District School Board,Arnott Charlton,3,en,1,95%,93%,95%,60%,52%,53%,5%,5%,5%
York Region DSB,German Mills PS,3,en,1,95%,95%,95%,86%,86%,90%,5%,5%,5%
York Region DSB,Glad Park PS,3,en,1,96%,96%,96%,73%,69%,57%,0%,0%,0%
Durham DSB,Glen Dhu PS,3,en,1,98%,98%,98%,88%,80%,84%,2%,2%,2%
York Region DSB,Glen Shields PS,3,en,1,92%,92%,92%,77%,55%,68%,8%,8%,8%
Superior-Greenstone DSB,B A Parker PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Adam Beck Jr PS,3,en,1,96%,96%,98%,91%,70%,54%,4%,4%,2%
Grand Erie DSB,Woodman-Cainsville School,3,en,1,92%,92%,94%,52%,52%,41%,8%,8%,3%
Toronto DSB,Givins/Shaw Jr & Sr PS,3,en,1,94%,94%,94%,71%,76%,82%,0%,0%,0%
Halton DSB,Gladys Speers PS,3,en,1,98%,98%,100%,83%,60%,77%,2%,2%,0%
Toronto DSB,Glamorgan Jr PS,3,en,1,85%,86%,86%,68%,59%,37%,7%,7%,7%
Toronto DSB,Gledhill Jr PS,3,en,1,100%,100%,100%,83%,78%,67%,0%,0%,0%
Thames Valley District School Board,Glen Cairn PS,3,en,1,83%,84%,84%,35%,18%,22%,10%,10%,9%
York Region DSB,Glen Cedar PS,3,en,1,81%,81%,81%,62%,54%,62%,12%,12%,12%
Toronto DSB,Glen Park PS,3,en,1,87%,87%,92%,50%,42%,46%,13%,13%,8%
Toronto DSB,Glen Ravine Jr PS,3,en,1,96%,100%,100%,58%,59%,44%,0%,0%,0%
Waterloo Region DSB,Glencairn PS,3,en,1,83%,83%,81%,77%,51%,68%,14%,14%,14%
York Region DSB,Greensborough Public School,3,en,1,97%,97%,97%,79%,72%,79%,0%,0%,0%
Durham DSB,Glen Street PS,3,en,1,100%,100%,100%,49%,30%,32%,0%,0%,0%
Upper Canada DSB,Glen Tay PS,3,en,1,91%,91%,91%,80%,80%,80%,9%,9%,9%
Limestone DSB,Glenburnie Public School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
DSB of Niagara,Glendale PS,3,en,1,100%,100%,100%,77%,80%,69%,0%,0%,0%
Peel District School Board,Glendale PS,3,en,1,86%,86%,86%,69%,50%,42%,12%,12%,12%
