BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
DSB of Niagara,Westdale PS,3,en,1,86%,86%,90%,84%,100%,88%,14%,14%,10%
Toronto DSB,da Vinci S,3,en,1,100%,100%,100%,80%,50%,70%,0%,0%,0%
Peel District School Board,Westervelts Corners PS,3,en,1,92%,92%,87%,61%,47%,47%,3%,3%,5%
Peel District School Board,Tony Pontes Public School,3,en,1,99%,99%,99%,61%,53%,42%,0%,0%,0%
Hastings and Prince Edward DSB,Susanna Moodie E S,3,en,1,95%,95%,95%,86%,76%,68%,3%,3%,3%
Limestone DSB,Granite Ridge Education Centre - Elementary,3,en,1,100%,100%,100%,67%,57%,57%,0%,0%,0%
Upper Canada DSB,Westminster PS,3,en,1,82%,82%,82%,86%,74%,74%,18%,18%,18%
Toronto DSB,Westmount Jr S,3,en,1,94%,94%,94%,65%,48%,45%,0%,0%,0%
Waterloo Region DSB,Westmount PS,3,en,1,85%,85%,85%,66%,59%,57%,15%,15%,15%
Thames Valley District School Board,Westmount PS,3,en,1,98%,100%,100%,59%,43%,58%,0%,0%,0%
Kawartha Pine Ridge DSB,Westmount PS,3,en,1,98%,100%,98%,73%,56%,52%,0%,0%,0%
DSB of Niagara,Westmount PS,3,en,1,95%,95%,95%,70%,30%,45%,5%,5%,5%
Rainbow District School Board,Westmount Avenue PS,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Lakehead DSB,Westmount PS,3,en,1,88%,88%,88%,68%,50%,54%,12%,12%,12%
Toronto DSB,Weston Memorial Jr PS,3,en,1,82%,82%,82%,84%,87%,84%,18%,18%,18%
Waterloo Region DSB,Westvale PS,3,en,1,94%,94%,94%,82%,76%,69%,4%,4%,4%
Toronto DSB,Westway Jr S,3,en,1,100%,100%,100%,69%,62%,31%,0%,0%,0%
Upper Grand DSB,Westwood PS,3,en,1,63%,63%,63%,71%,65%,65%,26%,26%,26%
Hamilton-Wentworth DSB,Westwood  PS,3,en,1,95%,95%,95%,65%,63%,46%,5%,5%,5%
Peel District School Board,Dunrankin Drive PS,3,en,1,100%,100%,100%,55%,45%,38%,0%,0%,0%
Toronto DSB,Wexford PS,3,en,1,91%,94%,94%,35%,41%,41%,6%,6%,6%
Lambton Kent District School Board,Wheatley Area,3,en,1,90%,90%,90%,83%,67%,72%,10%,10%,10%
Simcoe County DSB,Brechin PS,3,en,1,100%,100%,100%,71%,64%,71%,0%,0%,0%
York Region DSB,Whitchurch Highlands PS,3,en,1,96%,96%,96%,64%,60%,60%,4%,4%,4%
